category,food_id,food_name,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,metric_serving_amount,metric_serving_unit,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,serving_description,serving_id,serving_url,sodium,sugar,vitamin_a,vitamin_c,,,,,,
fruits,35755,Bananas,5,89,22.84,0,0.33,2.6,0.26,g,100,g,0.032,100,0.073,358,1.09,0.112,100 g,58486,https://www.fatsecret.com/calories-nutrition/usda/bananas?portionid=58486&portionamount=100.000,1,12.23,3,8.7,,,,,,
fruits,35718,Apples,6,52,13.81,0,0.17,2.4,0.12,g,100,g,0.007,100,0.051,107,0.26,0.028,100 g,58449,https://www.fatsecret.com/calories-nutrition/usda/apples?portionid=58449&portionamount=100.000,1,10.39,3,4.6,,,,,,
fruits,35863,Mangos,10,65,17,0,0.27,1.8,0.13,g,100,g,0.101,100,0.051,156,0.51,0.066,100 g,58594,https://www.fatsecret.com/calories-nutrition/usda/mangos?portionid=58594&portionamount=100.000,2,14.8,38,27.7,,,,,,
fruits,35984,Watermelon,7,30,7.55,0,0.15,0.4,0.24,g,100,g,0.037,100,0.05,112,0.61,0.016,100 g,58715,https://www.fatsecret.com/calories-nutrition/usda/watermelon?portionid=58715&portionamount=100.000,1,6.2,28,8.1,,,,,,
fruits,35830,"""Grapes (American Type"," Slip Skin)""",14,67,17.15,0,0.35,0.9,0.29,g,100,g,0.014,100,0.102,191,0.63,0.114,100 g,58561,https://www.fatsecret.com/calories-nutrition/usda/grapes-(american-type-slip-skin)?portionid=58561&portionamount=100.000,2,16.25,5,4,,,,,
fruits,35878,Oranges,40,47,11.75,0,0.12,2.4,0.1,g,100,g,0.023,100,0.025,181,0.94,0.015,100 g,58609,https://www.fatsecret.com/calories-nutrition/usda/oranges?portionid=58609&portionamount=100.000,0,9.35,11,53.2,,,,,,
fruits,35944,Plums,6,46,11.42,0,0.28,1.4,0.17,g,100,g,0.134,100,0.044,157,0.7,0.017,100 g,58675,https://www.fatsecret.com/calories-nutrition/usda/plums?portionid=58675&portionamount=100.000,0,9.92,17,9.5,,,,,,
fruits,35931,Pineapple,13,48,12.63,0,0.12,1.4,0.28,g,100,g,0.014,100,0.042,115,0.54,0.009,100 g,58662,https://www.fatsecret.com/calories-nutrition/usda/pineapple?portionid=58662&portionamount=100.000,1,9.26,3,36.2,,,,,,
fruits,35771,Red Sour Cherries,16,50,12.18,0,0.3,1.6,0.32,g,100,g,0.082,100,0.09,173,1,0.068,100 g,58502,https://www.fatsecret.com/calories-nutrition/usda/red-sour-cherries?portionid=58502&portionamount=100.000,3,8.49,64,10,,,,,,
fruits,35902,Peaches,6,39,9.54,0,0.25,1.5,0.25,g,100,g,0.067,100,0.086,190,0.91,0.019,100 g,58633,https://www.fatsecret.com/calories-nutrition/usda/peaches?portionid=58633&portionamount=100.000,0,8.39,16,6.6,,,,,,
fruits,35897,Papayas,24,39,9.81,0,0.14,1.8,0.1,g,100,g,0.038,100,0.031,257,0.61,0.043,100 g,58628,https://www.fatsecret.com/calories-nutrition/usda/papayas?portionid=58628&portionamount=100.000,3,5.9,55,61.8,,,,,,
